測站名稱,縣市,AQI,等級,狀態,主要污染物,緯度,經度,距離台北車站(公里),更新時間
基隆,基隆市,36,良好,良好,,25.129167,121.760056,26.12,2026/02/25 11:00:00
汐止,新北市,31,良好,良好,,25.06624,121.64081,12.66,2026/02/25 11:00:00
新店,新北市,35,良好,良好,,24.977222,121.537778,8.09,2026/02/25 11:00:00
土城,新北市,31,良好,良好,,24.982528,121.451861,9.77,2026/02/25 11:00:00
板橋,新北市,33,良好,良好,,25.012972,121.458667,7.04,2026/02/25 11:00:00
新莊,新北市,34,良好,良好,,25.037972,121.4325,8.6,2026/02/25 11:00:00
菜寮,新北市,34,良好,良好,,25.06895,121.481028,4.32,2026/02/25 11:00:00
林口,新北市,29,良好,良好,,25.07798949,121.36548982,15.65,2026/02/25 11:00:00
淡水,新北市,33,良好,良好,,25.1645,121.449239,14.62,2026/02/25 11:00:00
士林,臺北市,27,良好,良好,,25.10334003,121.51666356,6.15,2026/02/25 11:00:00
中山,臺北市,36,良好,良好,,25.062361,121.526528,1.88,2026/02/25 11:00:00
萬華,臺北市,31,良好,良好,,25.046503,121.507972,0.92,2026/02/25 11:00:00
古亭,臺北市,31,良好,良好,,25.020608,121.529556,3.27,2026/02/25 11:00:00
松山,臺北市,36,良好,良好,,25.05,121.578611,6.22,2026/02/25 11:00:00
大同,臺北市,52,普通,普通,細懸浮微粒,25.06331455,121.51342074,1.76,2026/02/25 11:00:00
桃園,桃園市,41,良好,良好,,24.9947107,121.30500531,22.19,2026/02/25 11:00:00
大園,桃園市,50,良好,良好,,25.06100357,121.20251473,31.76,2026/02/25 11:00:00
觀音,桃園市,32,良好,良好,,25.03556747,121.08283092,43.83,2026/02/25 11:00:00
平鎮,桃園市,55,普通,普通,細懸浮微粒,24.952786,121.203986,33.3,2026/02/25 11:00:00
龍潭,桃園市,32,良好,良好,,24.86400048,121.21645772,36.54,2026/02/25 11:00:00
湖口,新竹縣,31,良好,良好,,24.90009696,121.03886894,50.97,2026/02/25 11:00:00
竹東,新竹縣,25,良好,良好,,24.74091408,121.08895493,55.0,2026/02/25 11:00:00
新竹,新竹市,29,良好,良好,,24.8056356,120.97236752,61.2,2026/02/25 11:00:00
頭份,苗栗縣,26,良好,良好,,24.69690679,120.89869286,73.58,2026/02/25 11:00:00
